Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,CFR,RecoveryRate
69,2020-03-08,6:00 PM,Rajasthan,1,14,0,0,15,0.0,0.0
70,2020-03-08,6:00 PM,Kerala,8,0,3,0,8,0.0,37.5
71,2020-03-08,6:00 PM,Haryana,0,2,0,0,2,0.0,0.0
72,2020-03-08,6:00 PM,Delhi,3,0,0,0,3,0.0,0.0
73,2020-03-08,6:00 PM,Uttar Pradesh,7,0,0,0,7,0.0,0.0
74,2020-03-09,6:00 PM,Ladakh,2,0,0,0,2,0.0,0.0
75,2020-03-09,6:00 PM,Karnataka,1,0,0,0,1,0.0,0.0
76,2020-03-09,6:00 PM,Kerala,9,0,3,0,9,0.0,33.33333333333333
77,2020-03-09,6:00 PM,Maharashtra,2,0,0,0,2,0.0,0.0
78,2020-03-09,6:00 PM,Punjab,1,0,0,0,1,0.0,0.0
79,2020-03-09,6:00 PM,Rajasthan,1,14,0,0,15,0.0,0.0
80,2020-03-09,6:00 PM,Tamil Nadu,1,0,0,0,1,0.0,0.0
81,2020-03-09,6:00 PM,Telengana,1,0,0,0,1,0.0,0.0
82,2020-03-09,6:00 PM,Jammu and Kashmir,1,0,0,0,1,0.0,0.0
83,2020-03-09,6:00 PM,Uttar Pradesh,7,0,0,0,7,0.0,0.0
84,2020-03-09,6:00 PM,Haryana,0,2,0,0,2,0.0,0.0
85,2020-03-09,6:00 PM,Delhi,4,0,0,0,4,0.0,0.0
86,2020-03-10,6:00 PM,Uttar Pradesh,7,0,0,0,7,0.0,0.0
87,2020-03-10,6:00 PM,Ladakh,2,0,0,0,2,0.0,0.0
88,2020-03-10,6:00 PM,Delhi,4,0,0,0,4,0.0,0.0
89,2020-03-10,6:00 PM,Haryana,0,2,0,0,2,0.0,0.0
90,2020-03-10,6:00 PM,Karnataka,4,0,0,0,4,0.0,0.0
91,2020-03-10,6:00 PM,Kerala,15,0,3,0,15,0.0,20.0
92,2020-03-10,6:00 PM,Maharashtra,5,0,0,0,5,0.0,0.0
93,2020-03-10,6:00 PM,Punjab,1,0,0,0,1,0.0,0.0
94,2020-03-10,6:00 PM,Rajasthan,1,14,0,0,15,0.0,0.0
95,2020-03-10,6:00 PM,Tamil Nadu,1,0,0,0,1,0.0,0.0
96,2020-03-10,6:00 PM,Telengana,1,0,0,0,1,0.0,0.0
97,2020-03-10,6:00 PM,Jammu and Kashmir,1,0,0,0,1,0.0,0.0
98,2020-03-11,6:00 PM,Maharashtra,2,0,0,0,2,0.0,0.0
99,2020-03-11,6:00 PM,Delhi,5,0,0,0,5,0.0,0.0
100,2020-03-11,6:00 PM,Haryana,0,14,0,0,14,0.0,0.0
101,2020-03-11,6:00 PM,Kerala,17,0,3,0,17,0.0,17.647058823529413
102,2020-03-11,6:00 PM,Rajasthan,1,2,0,0,3,0.0,0.0
103,2020-03-11,6:00 PM,Telengana,1,0,0,0,1,0.0,0.0
104,2020-03-11,6:00 PM,Uttar Pradesh,9,0,0,0,9,0.0,0.0
105,2020-03-11,6:00 PM,Ladakh,2,0,0,0,2,0.0,0.0
106,2020-03-11,6:00 PM,Tamil Nadu,1,0,0,0,1,0.0,0.0
107,2020-03-11,6:00 PM,Jammu and Kashmir,1,0,0,0,1,0.0,0.0
108,2020-03-11,6:00 PM,Punjab,1,0,0,0,1,0.0,0.0
109,2020-03-11,6:00 PM,Karnataka,4,0,0,0,4,0.0,0.0
110,2020-03-12,6:00 PM,Delhi,6,0,0,0,6,0.0,0.0
111,2020-03-12,6:00 PM,Haryana,0,14,0,0,14,0.0,0.0
112,2020-03-12,6:00 PM,Kerala,17,0,3,0,17,0.0,17.647058823529413
113,2020-03-12,6:00 PM,Rajasthan,1,2,0,0,3,0.0,0.0
114,2020-03-12,6:00 PM,Telengana,1,0,0,0,1,0.0,0.0
115,2020-03-12,6:00 PM,Uttar Pradesh,10,1,0,0,11,0.0,0.0
116,2020-03-12,6:00 PM,Ladakh,3,0,0,0,3,0.0,0.0
117,2020-03-12,6:00 PM,Tamil Nadu,1,0,0,0,1,0.0,0.0
118,2020-03-12,6:00 PM,Jammu and Kashmir,1,0,0,0,1,0.0,0.0
119,2020-03-12,6:00 PM,Punjab,1,0,0,0,1,0.0,0.0
120,2020-03-12,6:00 PM,Karnataka,4,0,0,0,4,0.0,0.0
121,2020-03-12,6:00 PM,Maharashtra,11,0,0,0,11,0.0,0.0
122,2020-03-12,6:00 PM,Andhra Pradesh,1,0,0,0,1,0.0,0.0
123,2020-03-13,6:00 PM,Delhi,6,0,0,0,6,0.0,0.0
124,2020-03-13,6:00 PM,Haryana,0,14,0,0,14,0.0,0.0
125,2020-03-13,6:00 PM,Kerala,19,0,3,0,19,0.0,15.789473684210526
126,2020-03-13,6:00 PM,Rajasthan,1,2,0,0,3,0.0,0.0
127,2020-03-13,6:00 PM,Telengana,1,0,0,0,1,0.0,0.0
128,2020-03-13,6:00 PM,Uttar Pradesh,10,1,0,0,11,0.0,0.0
129,2020-03-13,6:00 PM,Ladakh,3,0,0,0,3,0.0,0.0
130,2020-03-13,6:00 PM,Tamil Nadu,1,0,0,0,1,0.0,0.0
131,2020-03-13,6:00 PM,Jammu and Kashmir,1,0,0,0,1,0.0,0.0
132,2020-03-13,6:00 PM,Punjab,1,0,0,0,1,0.0,0.0
133,2020-03-13,6:00 PM,Karnataka,6,0,0,1,6,16.666666666666664,0.0
134,2020-03-13,6:00 PM,Maharashtra,14,0,0,0,14,0.0,0.0
135,2020-03-13,6:00 PM,Andhra Pradesh,1,0,0,0,1,0.0,0.0
136,2020-03-14,6:00 PM,Delhi,7,0,1,1,7,14.285714285714285,14.285714285714285
137,2020-03-14,6:00 PM,Haryana,0,14,0,0,14,0.0,0.0
138,2020-03-14,6:00 PM,Kerala,19,0,3,0,19,0.0,15.789473684210526
139,2020-03-14,6:00 PM,Rajasthan,1,2,1,0,3,0.0,33.33333333333333
140,2020-03-14,6:00 PM,Telengana,1,0,0,0,1,0.0,0.0
141,2020-03-14,6:00 PM,Uttar Pradesh,11,1,5,0,12,0.0,41.66666666666667
142,2020-03-14,6:00 PM,Ladakh,3,0,0,0,3,0.0,0.0
143,2020-03-14,6:00 PM,Tamil Nadu,1,0,0,0,1,0.0,0.0
144,2020-03-14,6:00 PM,Jammu and Kashmir,2,0,0,0,2,0.0,0.0
145,2020-03-14,6:00 PM,Punjab,1,0,0,0,1,0.0,0.0
146,2020-03-14,6:00 PM,Karnataka,6,0,0,1,6,16.666666666666664,0.0
147,2020-03-14,6:00 PM,Maharashtra,14,0,0,0,14,0.0,0.0
148,2020-03-14,6:00 PM,Andhra Pradesh,1,0,0,0,1,0.0,0.0
149,2020-03-15,6:00 PM,Andhra Pradesh,1,0,0,0,1,0.0,0.0
150,2020-03-15,6:00 PM,Delhi,7,0,2,1,7,14.285714285714285,28.57142857142857
151,2020-03-15,6:00 PM,Haryana,0,14,0,0,14,0.0,0.0
152,2020-03-15,6:00 PM,Karnataka,6,0,0,1,6,16.666666666666664,0.0
153,2020-03-15,6:00 PM,Kerala,22,0,3,0,22,0.0,13.636363636363635
154,2020-03-15,6:00 PM,Maharashtra,32,0,0,0,32,0.0,0.0
155,2020-03-15,6:00 PM,Punjab,1,0,0,0,1,0.0,0.0
156,2020-03-15,6:00 PM,Rajasthan,2,2,3,0,4,0.0,75.0
157,2020-03-15,6:00 PM,Tamil Nadu,1,0,0,0,1,0.0,0.0
158,2020-03-15,6:00 PM,Telengana,3,0,1,0,3,0.0,33.33333333333333
159,2020-03-15,6:00 PM,Jammu and Kashmir,2,0,0,0,2,0.0,0.0
160,2020-03-15,6:00 PM,Ladakh,3,0,0,0,3,0.0,0.0
161,2020-03-15,6:00 PM,Uttar Pradesh,12,1,4,0,13,0.0,30.76923076923077
162,2020-03-15,6:00 PM,Uttarakhand,1,0,0,0,1,0.0,0.0
163,2020-03-16,6:00 PM,Andhra Pradesh,1,0,0,0,1,0.0,0.0
164,2020-03-16,6:00 PM,Delhi,7,0,2,1,7,14.285714285714285,28.57142857142857
165,2020-03-16,6:00 PM,Haryana,0,14,0,0,14,0.0,0.0
166,2020-03-16,6:00 PM,Karnataka,6,0,0,1,6,16.666666666666664,0.0
167,2020-03-16,6:00 PM,Kerala,23,0,3,0,23,0.0,13.043478260869565
168,2020-03-16,6:00 PM,Maharashtra,32,0,0,0,32,0.0,0.0
169,2020-03-16,6:00 PM,Odisha,1,0,0,0,1,0.0,0.0
170,2020-03-16,6:00 PM,Punjab,1,0,0,0,1,0.0,0.0
171,2020-03-16,6:00 PM,Rajasthan,2,2,3,0,4,0.0,75.0
172,2020-03-16,6:00 PM,Tamil Nadu,1,0,0,0,1,0.0,0.0
173,2020-03-16,6:00 PM,Telengana,3,0,1,0,3,0.0,33.33333333333333
174,2020-03-16,6:00 PM,Jammu and Kashmir,3,0,0,0,3,0.0,0.0
175,2020-03-16,6:00 PM,Ladakh,4,0,0,0,4,0.0,0.0
176,2020-03-16,6:00 PM,Uttar Pradesh,12,1,4,0,13,0.0,30.76923076923077
177,2020-03-16,6:00 PM,Uttarakhand,1,0,0,0,1,0.0,0.0
178,2020-03-17,6:00 PM,Andhra Pradesh,1,0,0,0,1,0.0,0.0
179,2020-03-17,6:00 PM,Delhi,8,0,2,1,8,12.5,25.0
180,2020-03-17,6:00 PM,Haryana,1,14,0,0,15,0.0,0.0
181,2020-03-17,6:00 PM,Karnataka,11,0,0,1,11,9.090909090909092,0.0
182,2020-03-17,6:00 PM,Kerala,24,2,3,0,26,0.0,11.538461538461538
183,2020-03-17,6:00 PM,Maharashtra,36,3,0,1,39,2.564102564102564,0.0
184,2020-03-17,6:00 PM,Odisha,1,0,0,0,1,0.0,0.0
185,2020-03-17,6:00 PM,Punjab,1,0,0,0,1,0.0,0.0
186,2020-03-17,6:00 PM,Rajasthan,2,2,3,0,4,0.0,75.0
187,2020-03-17,6:00 PM,Tamil Nadu,1,0,0,0,1,0.0,0.0
188,2020-03-17,6:00 PM,Telengana,3,2,1,0,5,0.0,20.0
189,2020-03-17,6:00 PM,Jammu and Kashmir,3,0,0,0,3,0.0,0.0
190,2020-03-17,6:00 PM,Ladakh,6,0,0,0,6,0.0,0.0
191,2020-03-17,6:00 PM,Uttar Pradesh,14,1,5,0,15,0.0,33.33333333333333
192,2020-03-17,6:00 PM,Uttarakhand,1,0,0,0,1,0.0,0.0
193,2020-03-18,6:00 PM,Andhra Pradesh,1,0,0,0,1,0.0,0.0
194,2020-03-18,6:00 PM,Delhi,9,1,2,1,10,10.0,20.0
195,2020-03-18,6:00 PM,Haryana,3,14,0,0,17,0.0,0.0
196,2020-03-18,6:00 PM,Karnataka,11,0,0,1,11,9.090909090909092,0.0
197,2020-03-18,6:00 PM,Kerala,25,2,3,0,27,0.0,11.11111111111111
198,2020-03-18,6:00 PM,Maharashtra,39,3,0,1,42,2.380952380952381,0.0
199,2020-03-18,6:00 PM,Odisha,1,0,0,0,1,0.0,0.0
200,2020-03-18,6:00 PM,Puducherry,1,0,0,0,1,0.0,0.0
201,2020-03-18,6:00 PM,Punjab,1,0,0,0,1,0.0,0.0
202,2020-03-18,6:00 PM,Rajasthan,2,2,3,0,4,0.0,75.0
203,2020-03-18,6:00 PM,Tamil Nadu,1,0,0,0,1,0.0,0.0
204,2020-03-18,6:00 PM,Telengana,4,2,1,0,6,0.0,16.666666666666664
205,2020-03-18,6:00 PM,Jammu and Kashmir,3,0,0,0,3,0.0,0.0
206,2020-03-18,6:00 PM,Ladakh,8,0,0,0,8,0.0,0.0
207,2020-03-18,6:00 PM,Uttar Pradesh,15,1,5,0,16,0.0,31.25
208,2020-03-18,6:00 PM,Uttarakhand,1,0,0,0,1,0.0,0.0
209,2020-03-18,6:00 PM,West Bengal,1,0,0,0,1,0.0,0.0
210,2020-03-19,6:00 PM,Andhra Pradesh,2,0,0,0,2,0.0,0.0
211,2020-03-19,6:00 PM,Chhattisgarh,1,0,0,0,1,0.0,0.0
212,2020-03-19,6:00 PM,Delhi,11,1,3,1,12,8.333333333333332,25.0
213,2020-03-19,6:00 PM,Haryana,3,14,0,0,17,0.0,0.0
214,2020-03-19,6:00 PM,Karnataka,14,0,0,1,14,7.142857142857142,0.0
215,2020-03-19,6:00 PM,Kerala,25,2,3,0,27,0.0,11.11111111111111
216,2020-03-19,6:00 PM,Maharashtra,44,3,0,1,47,2.127659574468085,0.0
217,2020-03-19,6:00 PM,Odisha,1,0,0,0,1,0.0,0.0
218,2020-03-19,6:00 PM,Puducherry,1,0,0,0,1,0.0,0.0
219,2020-03-19,6:00 PM,Punjab,2,0,0,1,2,50.0,0.0
220,2020-03-19,6:00 PM,Rajasthan,5,2,3,0,7,0.0,42.857142857142854
221,2020-03-19,6:00 PM,Tamil Nadu,2,0,1,0,2,0.0,50.0
222,2020-03-19,6:00 PM,Telengana,4,2,1,0,6,0.0,16.666666666666664
223,2020-03-19,6:00 PM,Chandigarh,1,0,0,0,1,0.0,0.0
224,2020-03-19,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0.0,0.0
225,2020-03-19,6:00 PM,Ladakh,8,0,0,0,8,0.0,0.0
226,2020-03-19,6:00 PM,Uttar Pradesh,18,1,9,0,19,0.0,47.368421052631575
227,2020-03-19,6:00 PM,Uttarakhand,1,0,0,0,1,0.0,0.0
228,2020-03-19,6:00 PM,West Bengal,1,0,0,0,1,0.0,0.0
229,2020-03-20,6:00 PM,Andhra Pradesh,3,0,0,0,3,0.0,0.0
230,2020-03-20,6:00 PM,Chhattisgarh,1,0,0,0,1,0.0,0.0
231,2020-03-20,6:00 PM,Delhi,16,1,5,1,17,5.88235294117647,29.411764705882355
232,2020-03-20,6:00 PM,Gujarat,5,0,0,0,5,0.0,0.0
233,2020-03-20,6:00 PM,Haryana,3,14,0,0,17,0.0,0.0
234,2020-03-20,6:00 PM,Karnataka,15,0,1,1,15,6.666666666666667,6.666666666666667
235,2020-03-20,6:00 PM,Kerala,26,2,3,0,28,0.0,10.714285714285714
236,2020-03-20,6:00 PM,Maharashtra,49,3,0,1,52,1.9230769230769231,0.0
237,2020-03-20,6:00 PM,Odisha,2,0,0,0,2,0.0,0.0
238,2020-03-20,6:00 PM,Puducherry,1,0,0,0,1,0.0,0.0
239,2020-03-20,6:00 PM,Punjab,2,0,0,1,2,50.0,0.0
240,2020-03-20,6:00 PM,Rajasthan,15,2,3,0,17,0.0,17.647058823529413
241,2020-03-20,6:00 PM,Tamil Nadu,3,0,1,0,3,0.0,33.33333333333333
242,2020-03-20,6:00 PM,Telengana,8,9,1,0,17,0.0,5.88235294117647
243,2020-03-20,6:00 PM,Chandigarh,1,0,0,0,1,0.0,0.0
244,2020-03-20,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0.0,0.0
245,2020-03-20,6:00 PM,Ladakh,10,0,0,0,10,0.0,0.0
246,2020-03-20,6:00 PM,Uttar Pradesh,22,1,9,0,23,0.0,39.130434782608695
247,2020-03-20,6:00 PM,Uttarakhand,3,0,0,0,3,0.0,0.0
248,2020-03-20,6:00 PM,West Bengal,2,0,0,0,2,0.0,0.0
249,2020-03-21,6:00 PM,Andhra Pradesh,3,0,0,0,3,0.0,0.0
250,2020-03-21,6:00 PM,Chhattisgarh,1,0,0,0,1,0.0,0.0
251,2020-03-21,6:00 PM,Delhi,25,1,5,1,26,3.8461538461538463,19.230769230769234
252,2020-03-21,6:00 PM,Gujarat,7,0,0,0,7,0.0,0.0
253,2020-03-21,6:00 PM,Haryana,3,14,0,0,17,0.0,0.0
254,2020-03-21,6:00 PM,Himachal Pradesh,2,0,0,0,2,0.0,0.0
255,2020-03-21,6:00 PM,Karnataka,15,0,1,1,15,6.666666666666667,6.666666666666667
256,2020-03-21,6:00 PM,Kerala,33,7,3,0,40,0.0,7.5
257,2020-03-21,6:00 PM,Madhya Pradesh,4,0,0,0,4,0.0,0.0
258,2020-03-21,6:00 PM,Maharashtra,60,3,0,1,63,1.5873015873015872,0.0
259,2020-03-21,6:00 PM,Odisha,2,0,0,0,2,0.0,0.0
260,2020-03-21,6:00 PM,Puducherry,1,0,0,0,1,0.0,0.0
261,2020-03-21,6:00 PM,Punjab,13,0,0,1,13,7.6923076923076925,0.0
262,2020-03-21,6:00 PM,Rajasthan,15,2,3,0,17,0.0,17.647058823529413
263,2020-03-21,6:00 PM,Tamil Nadu,3,0,1,0,3,0.0,33.33333333333333
264,2020-03-21,6:00 PM,Telengana,10,11,1,0,21,0.0,4.761904761904762
265,2020-03-21,6:00 PM,Chandigarh,1,0,0,0,1,0.0,0.0
266,2020-03-21,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0.0,0.0
267,2020-03-21,6:00 PM,Ladakh,13,0,0,0,13,0.0,0.0
268,2020-03-21,6:00 PM,Uttar Pradesh,23,1,9,0,24,0.0,37.5
269,2020-03-21,6:00 PM,Uttarakhand,3,0,0,0,3,0.0,0.0
270,2020-03-21,6:00 PM,West Bengal,3,0,0,0,3,0.0,0.0
271,2020-03-22,6:00 PM,Andhra Pradesh,5,0,0,0,5,0.0,0.0
272,2020-03-22,6:00 PM,Bihar,2,0,0,1,2,50.0,0.0
273,2020-03-22,6:00 PM,Chhattisgarh,1,0,0,0,1,0.0,0.0
274,2020-03-22,6:00 PM,Delhi,28,1,5,1,29,3.4482758620689653,17.24137931034483
275,2020-03-22,6:00 PM,Gujarat,18,0,0,1,18,5.555555555555555,0.0
276,2020-03-22,6:00 PM,Haryana,7,14,0,0,21,0.0,0.0
277,2020-03-22,6:00 PM,Himachal Pradesh,2,0,0,0,2,0.0,0.0
278,2020-03-22,6:00 PM,Karnataka,26,0,2,1,26,3.8461538461538463,7.6923076923076925
279,2020-03-22,6:00 PM,Kerala,45,7,3,0,52,0.0,5.769230769230769
280,2020-03-22,6:00 PM,Madhya Pradesh,4,0,0,0,4,0.0,0.0
281,2020-03-22,6:00 PM,Maharashtra,64,3,0,2,67,2.9850746268656714,0.0
282,2020-03-22,6:00 PM,Odisha,2,0,0,0,2,0.0,0.0
283,2020-03-22,6:00 PM,Puducherry,1,0,0,0,1,0.0,0.0
284,2020-03-22,6:00 PM,Punjab,21,0,0,1,21,4.761904761904762,0.0
285,2020-03-22,6:00 PM,Rajasthan,22,2,3,0,24,0.0,12.5
286,2020-03-22,6:00 PM,Tamil Nadu,5,2,1,0,7,0.0,14.285714285714285
287,2020-03-22,6:00 PM,Telengana,11,11,1,0,22,0.0,4.545454545454546
288,2020-03-22,6:00 PM,Chandigarh,5,0,0,0,5,0.0,0.0
289,2020-03-22,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0.0,0.0
290,2020-03-22,6:00 PM,Ladakh,13,0,0,0,13,0.0,0.0
291,2020-03-22,6:00 PM,Uttar Pradesh,26,1,9,0,27,0.0,33.33333333333333
292,2020-03-22,6:00 PM,Uttarakhand,3,0,0,0,3,0.0,0.0
293,2020-03-22,6:00 PM,West Bengal,4,0,0,0,4,0.0,0.0
294,2020-03-23,6:00 PM,Andhra Pradesh,7,0,0,0,7,0.0,0.0
295,2020-03-23,6:00 PM,Bihar,2,0,0,1,2,50.0,0.0
296,2020-03-23,6:00 PM,Chhattisgarh,1,0,0,0,1,0.0,0.0
297,2020-03-23,6:00 PM,Delhi,28,1,5,1,29,3.4482758620689653,17.24137931034483
298,2020-03-23,6:00 PM,Gujarat,29,0,0,1,29,3.4482758620689653,0.0
299,2020-03-23,6:00 PM,Haryana,12,14,0,0,26,0.0,0.0
300,2020-03-23,6:00 PM,Himachal Pradesh,2,0,0,0,2,0.0,0.0
301,2020-03-23,6:00 PM,Karnataka,33,0,2,1,33,3.0303030303030303,6.0606060606060606
302,2020-03-23,6:00 PM,Kerala,60,7,3,0,67,0.0,4.477611940298507
303,2020-03-23,6:00 PM,Madhya Pradesh,6,0,0,0,6,0.0,0.0
304,2020-03-23,6:00 PM,Maharashtra,71,3,0,2,74,2.7027027027027026,0.0
305,2020-03-23,6:00 PM,Odisha,2,0,0,0,2,0.0,0.0
306,2020-03-23,6:00 PM,Puducherry,1,0,0,0,1,0.0,0.0
307,2020-03-23,6:00 PM,Punjab,21,0,0,1,21,4.761904761904762,0.0
308,2020-03-23,6:00 PM,Rajasthan,26,2,3,0,28,0.0,10.714285714285714
309,2020-03-23,6:00 PM,Tamil Nadu,7,2,1,0,9,0.0,11.11111111111111
310,2020-03-23,6:00 PM,Telengana,22,10,1,0,32,0.0,3.125
311,2020-03-23,6:00 PM,Chandigarh,6,0,0,0,6,0.0,0.0
312,2020-03-23,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0.0,0.0
313,2020-03-23,6:00 PM,Ladakh,13,0,0,0,13,0.0,0.0
314,2020-03-23,6:00 PM,Uttar Pradesh,30,1,9,0,31,0.0,29.03225806451613
315,2020-03-23,6:00 PM,Uttarakhand,3,0,0,0,3,0.0,0.0
316,2020-03-23,6:00 PM,West Bengal,7,0,0,0,7,0.0,0.0
317,2020-03-24,6:00 PM,Andhra Pradesh,8,0,0,0,8,0.0,0.0
318,2020-03-24,6:00 PM,Bihar,3,0,0,1,3,33.33333333333333,0.0
319,2020-03-24,6:00 PM,Chhattisgarh,1,0,0,0,1,0.0,0.0
320,2020-03-24,6:00 PM,Delhi,29,1,6,1,30,3.3333333333333335,20.0
321,2020-03-24,6:00 PM,Gujarat,32,1,0,1,33,3.0303030303030303,0.0
322,2020-03-24,6:00 PM,Haryana,14,14,11,0,28,0.0,39.285714285714285
323,2020-03-24,6:00 PM,Himachal Pradesh,3,0,0,1,3,33.33333333333333,0.0
324,2020-03-24,6:00 PM,Karnataka,37,0,3,1,37,2.7027027027027026,8.108108108108109
325,2020-03-24,6:00 PM,Kerala,87,8,4,0,95,0.0,4.2105263157894735
326,2020-03-24,6:00 PM,Madhya Pradesh,7,0,0,0,7,0.0,0.0
327,2020-03-24,6:00 PM,Maharashtra,86,3,0,2,89,2.247191011235955,0.0
328,2020-03-24,6:00 PM,Manipur,1,0,0,0,1,0.0,0.0
329,2020-03-24,6:00 PM,Odisha,2,0,0,0,2,0.0,0.0
330,2020-03-24,6:00 PM,Puducherry,1,0,0,0,1,0.0,0.0
331,2020-03-24,6:00 PM,Punjab,29,0,0,1,29,3.4482758620689653,0.0
